Who am I: I only hacked 5 games!|PureLegacy
Unit Cost [Gas]: Corruptor|100
Unit Supply: Corruptor|2
Unit Cost [Minerals]: Viper|100
Unit Cost [Gas]: Viper|200
Unit Supply: Viper|3
Unit Cost [Minerals]: Ultralisk|300
Unit Cost [Gas]: Ultralisk|200
Unit Supply: Ultralisk|6
Unit Cost [Minerals]: Brood Lord|300
Unit Cost [Gas]: Brood Lord|250
Unit Supply: Brood Lord|4
Unit Cost [Minerals]: Aberration|200
Unit Cost [Gas]: Aberration|75
Unit Supply: Aberration|3
